command,mean,stddev,median,user,system,min,max,parameter_len,parameter_memset
./zig-out/bin/memset_bench glibc_avx512 500_000_000 1,0.8049064353400001,0.0009406601109405556,0.8050813082400001,0.7339193399999999,0.07092056,0.8028433117400001,0.8058125157400001,1,glibc_avx512
./zig-out/bin/memset_bench glibc_avx2 500_000_000 1,0.7983310957400002,0.0220022980492336,0.80502236524,0.7269827400000001,0.07128386,0.7357512967400001,0.8072300517400001,1,glibc_avx2
./zig-out/bin/memset_bench libc 500_000_000 1,0.7977072270400001,0.011171102760163894,0.80104820974,0.72669574,0.07094606,0.77322552174,0.80706610574,1,libc
./zig-out/bin/memset_bench skk64 500_000_000 1,0.9246985783400001,0.004588970587219709,0.9260880552400002,0.85344784,0.07118116000000001,0.9152237407400001,0.92904389874,1,skk64
./zig-out/bin/memset_bench rpkak 500_000_000 1,0.89995569894,0.05041159021344676,0.9274654012400001,0.8227683399999999,0.07712285999999999,0.8049602277400001,0.9287848897400001,1,rpkak
./zig-out/bin/memset_bench builtin 500_000_000 1,0.9207858744400003,0.020719089628081076,0.9287664802400001,0.84384824,0.07687146,0.8639176877400001,0.9308699827400001,1,builtin
./zig-out/bin/memset_bench musl_asm 500_000_000 1,0.8041130003400001,0.0100022021723314,0.8068712087400001,0.72945674,0.07459076,0.77617990674,0.8104907267400001,1,musl_asm
./zig-out/bin/memset_bench basic 500_000_000 1,1.05144736094,0.003774865509165642,1.05132542874,0.9772609400000001,0.07403725999999998,1.04588960074,1.06068986974,1,basic
./zig-out/bin/memset_bench glibc_avx512 500_000_000 2,0.50161369504,0.0027815034297694417,0.5028354717400001,0.42197413999999994,0.07958426,0.49541147674,0.5038720357400001,2,glibc_avx512
./zig-out/bin/memset_bench glibc_avx2 500_000_000 2,0.50243533754,0.0015642284203803065,0.5021850612400001,0.42983834,0.07254266,0.5004186167400001,0.50469502074,2,glibc_avx2
./zig-out/bin/memset_bench libc 500_000_000 2,0.49989239184,0.007629261037805275,0.50217525174,0.42677853999999993,0.07305685999999999,0.47869794974,0.50542317374,2,libc
./zig-out/bin/memset_bench skk64 500_000_000 2,0.5135954957400001,0.03700037292102884,0.50185067474,0.44151873999999997,0.07201906,0.5010759427400001,0.6188900417400001,2,skk64
./zig-out/bin/memset_bench rpkak 500_000_000 2,0.5027752604400001,0.0005286152703116667,0.50299442974,0.42972143999999995,0.07299836,0.50179761574,0.50328347374,2,rpkak
./zig-out/bin/memset_bench builtin 500_000_000 2,0.54198091534,0.014384717227271374,0.54361040124,0.47080423999999993,0.07111895999999998,0.5191189647400001,0.5635972947400001,2,builtin
./zig-out/bin/memset_bench musl_asm 500_000_000 2,0.4472019051399999,0.019853567257247306,0.44126557474000005,0.37025134,0.07689296,0.43863602574,0.50358537774,2,musl_asm
./zig-out/bin/memset_bench basic 500_000_000 2,0.5595914578400001,0.007663537126329833,0.5626632037400001,0.49364384,0.06586296,0.54102265774,0.56551509174,2,basic
./zig-out/bin/memset_bench glibc_avx512 500_000_000 3,0.36067750934,0.0009148034459441989,0.36074343124,0.2898502399999999,0.07077446,0.35873154374,0.36214604474,3,glibc_avx512
./zig-out/bin/memset_bench glibc_avx2 500_000_000 3,0.35831208364,0.0036124571003946014,0.35984757724,0.28429494,0.07396166000000001,0.35041347874,0.36132750673999997,3,glibc_avx2
./zig-out/bin/memset_bench libc 500_000_000 3,0.39956526593999997,0.007853057055183587,0.40189048423999996,0.33259063999999994,0.06690826,0.37754753474,0.40497156474,3,libc
./zig-out/bin/memset_bench skk64 500_000_000 3,0.3592485906399999,0.002201681532460364,0.35955227073999996,0.28821514,0.07097785999999999,0.35368732874,0.36144605574,3,skk64
./zig-out/bin/memset_bench rpkak 500_000_000 3,0.3525309872399999,0.016729983288102292,0.36050153874,0.28032623999999995,0.07215176000000001,0.32064505074,0.36131336674,3,rpkak
./zig-out/bin/memset_bench builtin 500_000_000 3,0.42652084654,0.019061888491108857,0.42904225224,0.35148693999999997,0.07496506,0.40438489573999997,0.44654139274,3,builtin
./zig-out/bin/memset_bench musl_asm 500_000_000 3,0.32295621543999997,0.014610288326863296,0.32131346324,0.24940283999999996,0.07349716,0.30101080374,0.36016527374,3,musl_asm
./zig-out/bin/memset_bench basic 500_000_000 3,0.44234604544,0.009638050370344485,0.44538236923999996,0.36834134,0.07394606000000001,0.41697093274,0.44821785674,3,basic
./zig-out/bin/memset_bench glibc_avx512 500_000_000 4,0.28564753243999996,0.011746904214312561,0.28922516174,0.21184644000000002,0.07373796,0.25241918473999997,0.29145536274,4,glibc_avx512
./zig-out/bin/memset_bench glibc_avx2 500_000_000 4,0.28756009074,0.004942626800242607,0.28929522724,0.21393394000000004,0.07356955999999999,0.27424696274,0.29062592774,4,glibc_avx2
./zig-out/bin/memset_bench libc 500_000_000 4,0.35011389253999997,0.009956180343402812,0.35327439274,0.28015763999999993,0.06990386,0.33090245874,0.35911211474,4,libc
./zig-out/bin/memset_bench skk64 500_000_000 4,0.30139132634,0.02522716423954525,0.28964525174,0.23116674,0.07017116,0.28743242273999997,0.35019252974,4,skk64
./zig-out/bin/memset_bench rpkak 500_000_000 4,0.2771913442399999,0.015717406678386385,0.28839202674,0.20551754,0.07162236,0.25783184774,0.29023804074,4,rpkak
./zig-out/bin/memset_bench builtin 500_000_000 4,0.38112057814,0.010830773017143967,0.38504073074,0.31127253999999993,0.06979115999999999,0.36225558273999997,0.39201966274,4,builtin
./zig-out/bin/memset_bench musl_asm 500_000_000 4,0.2540784589218182,0.01061258713197205,0.25876926474,0.1799288127272727,0.07409623272727274,0.22522932174000002,0.26129069573999997,4,musl_asm
./zig-out/bin/memset_bench basic 500_000_000 4,0.38823372143999996,0.00888429189564392,0.39027178574,0.3146197399999999,0.07356166,0.37440576574,0.39841956074,4,basic
./zig-out/bin/memset_bench glibc_avx512 500_000_000 5,0.24699259540666665,0.0013791334149549622,0.24741505974,0.17670428999999999,0.07023487666666667,0.24447544574000002,0.24850016274000003,5,glibc_avx512
./zig-out/bin/memset_bench glibc_avx2 500_000_000 5,0.2457160869066667,0.004697059600454363,0.24696273174,0.17084162333333333,0.07481287666666668,0.23109027074000002,0.24886607174000003,5,glibc_avx2
./zig-out/bin/memset_bench libc 500_000_000 5,0.30454677393999996,0.014157479690644759,0.29658308174000003,0.22715653999999996,0.07733656,0.29144896674,0.32371503974,5,libc
./zig-out/bin/memset_bench skk64 500_000_000 5,0.2478614385733334,0.0011317790572236914,0.24800545024000004,0.1751701233333333,0.07263745999999999,0.24482283674000002,0.24881704774000002,5,skk64
